company_name,company_number,company_status,company_type,kind,links,date_of_cessation,date_of_creation,sic_codes,company_subtype,address_line_1,locality,postal_code,country,region,address_line_2,year_of_cessation,year_of_creation
L M LENNOX LIMITED,10560217,dissolved,ltd,search-results#company,{'company_profile': '/company/10560217'},2022-09-20,2017-01-12,['64191'],,24 Wagtail Walk,Beckenham,BR3 3XG,United Kingdom,Kent,Langley Park,2022,2017
RUN.VENTURES GLOBAL LIMITED,10569328,dissolved,ltd,search-results#company,{'company_profile': '/company/10569328'},2022-04-05,2017-01-18,"['62012', '63110', '64191', '64303']",,27 Old Gloucester Street,London,WC1N 3AX,United Kingdom,,,2022,2017
LAIDLAW ADVISORY LIMITED,10568646,dissolved,ltd,search-results#company,{'company_profile': '/company/10568646'},2021-09-15,2017-01-17,['64191'],,2 Spring Close,Lutterworth,LE17 4DD,,Leicestershire,,2021,2017
KONA CONSULTING LTD,10590789,active,ltd,search-results#company,{'company_profile': '/company/10590789'},,2017-01-30,['64191'],,The Lodge,Basildon,SS15 4BP,United Kingdom,Essex,120 Wash Road,,2017
LA1 LIMITED,10680079,active,ltd,search-results#company,{'company_profile': '/company/10680079'},,2017-03-20,['64191'],,2 Brompton Street,Oldham,OL4 1AB,England,,,,2017
PATRICK MARTIN LIMITED,10679802,dissolved,ltd,search-results#company,{'company_profile': '/company/10679802'},2019-04-30,2017-03-20,['64191'],,6 Bayfield Place,Orpington,BR6 7FA,England,,,2019,2017
DAVID J SMITH UK LTD,10681003,dissolved,ltd,search-results#company,{'company_profile': '/company/10681003'},2023-01-17,2017-03-21,"['64191', '70229']",,5 Gibson Vale,Broomfield,CM1 7GD,United Kingdom,Chelmsford,,2023,2017
ORMEROD FAMILY LIMITED,10697894,dissolved,ltd,search-results#company,{'company_profile': '/company/10697894'},2019-04-02,2017-03-30,"['64191', '66120']",,Cragmans Gambles Green,Chelmsford,CM3 2QP,England,,Terling,2019,2017
AKCE LIMITED,10706587,dissolved,ltd,search-results#company,{'company_profile': '/company/10706587'},2020-10-03,2017-04-04,['64191'],,5th Floor Grove House,London,NW1 6BB,,,248a Marylebone Road,2020,2017
CRMM LIMITED,10710105,dissolved,ltd,search-results#company,{'company_profile': '/company/10710105'},2018-10-02,2017-04-05,['64191'],,24 Compton Way Compton Way,Abergele,LL22 7BL,United Kingdom,Conwy,,2018,2017
IONICOIN DIGITAL CURRENCY LTD,10718847,dissolved,ltd,search-results#company,{'company_profile': '/company/10718847'},2018-09-18,2017-04-10,"['64110', '64191']",,27 Colmore Row,Birmingham,B3 2EW,United Kingdom,,,2018,2017
SUNFLOWER TRADING LTD,10719569,dissolved,ltd,search-results#company,{'company_profile': '/company/10719569'},2018-09-18,2017-04-11,"['64110', '64191', '64202']",,27 Old Gloucester Street,London,WC1N 3AX,United Kingdom,,,2018,2017
JASON DARRENS COMPANY LIMITED,10722432,dissolved,ltd,search-results#company,{'company_profile': '/company/10722432'},2020-11-10,2017-04-12,"['64191', '64910', '66300', '68320']",,69 Whitehead Close,London,N18 1UY,United Kingdom,,,2020,2017
ISTED CONSULTING LIMITED,10722048,dissolved,ltd,search-results#company,{'company_profile': '/company/10722048'},2022-03-18,2017-04-12,['64191'],,41 Kingston Street,Cambridge,CB1 2NU,,,,2022,2017
